LineNumber Seconds Frequency,Hz
1195 644,542 609,22760
1196 645,083 609,22772
1197 645,616 609,22778
1198 646,157 609,22772
1199 646,693 609,22772
1200 647,225 609,22803
1201 647,771 609,22772
1202 648,316 609,22809
1203 648,850 609,22809
1204 649,391 609,22797
1205 649,921 609,22797
1206 650,453 608,94208
1207 650,996 599,15387
1208 651,536 599,08911
1209 652,075 599,08911
1210 652,618 599,08997
1211 653,158 599,08960
1212 653,691 599,08960
1213 654,220 599,08966
1214 654,753 599,08948
1215 655,289 599,08954
1216 655,839 599,08954
1217 656,375 599,08929
1218 656,915 599,08929
1219 657,466 599,08899
1220 658,007 599,08887
1221 658,560 599,08887
1222 659,101 599,08942
1223 659,646 599,08929
1224 660,189 599,08942
1225 660,721 599,08905
1226 661,250 599,08923
1227 661,784 599,08899
1228 662,318 599,08911
1229 662,871 599,08960
1230 663,412 598,96539
1231 663,955 589,28253
1232 664,491 589,28241
1233 665,043 589,28320
1234 665,588 589,28278
1235 666,135 589,28253
1236 666,671 589,28241
1237 667,205 589,28302
1238 667,748 589,28302
1239 668,291 589,28284
1240 668,836 589,28290
1241 669,375 589,28265
1242 669,919 589,28241
1243 670,461 589,28265
1244 671,003 589,28247
1245 671,537 589,28253
1246 672,071 589,28271
1247 672,613 589,28320
1248 673,150 589,28284
1249 673,702 589,28241
1250 674,234 589,28241
1251 674,767 589,28192
1252 675,299 589,28198
1253 675,843 589,28223
1254 676,375 589,28253
1255 676,913 579,79205
1256 677,467 579,79218
1257 678,005 579,79211
1258 678,559 579,79211
1259 679,099 579,79254
1260 679,651 579,79211
1261 680,196 579,79181
1262 680,742 579,79199
1263 681,286 579,79218
1264 681,817 579,79242
1265 682,352 579,79193
1266 682,899 579,79199
1267 683,444 579,79230
1268 683,991 579,79248
1269 684,538 579,79266
1270 685,085 579,79254
1271 685,627 579,79248
1272 686,158 579,79254
1273 686,690 579,79248
1274 687,228 579,79230
1275 687,771 579,79224
1276 688,324 579,79260
1277 688,868 579,79254
1278 689,411 579,79254
1279 689,941 570,60211
1280 690,472 570,60211
1281 691,002 570,60205
1282 691,532 570,60242
1283 692,071 570,60248
1284 692,618 570,60187
1285 693,157 570,60175
1286 693,697 570,60211
1287 694,243 570,60242
1288 694,785 570,60175
1289 695,319 570,60217
1290 695,866 570,60193
1291 696,409 570,60187
1292 696,940 570,60217
1293 697,470 570,60217
1294 698,007 570,60211
1295 698,558 570,60242
1296 699,097 570,60229
1297 699,631 570,60242
1298 700,172 570,60260
1299 700,708 570,60278
1300 701,235 570,60223
1301 701,765 570,60272
1302 702,309 570,60266
1303 702,849 561,69922
1304 703,385 561,69897
1305 703,921 561,69885
1306 704,456 561,69879
1307 704,997 561,69855
1308 705,531 561,69855
1309 706,076 561,69861
1310 706,622 561,69843
1311 707,160 561,69843
1312 707,700 561,69873
1313 708,248 561,69910
1314 708,791 561,69916
1315 709,329 561,69928
1316 709,874 561,69916
1317 710,419 561,69922
1318 710,963 561,69897
1319 711,499 561,69910
1320 712,033 561,69946
1321 712,567 561,69940
1322 713,106 561,69940
1323 713,640 561,69977
1324 714,183 561,69983
1325 714,727 561,69977
1326 715,272 561,69977
1327 715,815 553,06903
1328 716,348 553,06946
1329 716,877 553,06970
1330 717,408 553,06958
1331 717,941 553,06921
1332 718,472 553,06915
1333 719,011 553,06909
1334 719,547 553,06885
1335 720,083 553,06903
1336 720,629 553,06915
1337 721,156 553,06921
1338 721,699 553,06927
1339 722,245 553,06903
1340 722,789 553,06903
1341 723,337 553,06897
1342 723,889 553,06891
1343 724,425 553,06909
1344 724,961 553,06897
1345 725,506 553,06885
1346 726,050 553,06903
1347 726,582 553,06921
1348 727,115 553,06903
1349 727,667 553,06885
1350 728,203 553,06885
1351 728,742 544,70074
1352 729,289 544,70093
1353 729,838 544,70123
1354 730,376 544,70117
1355 730,914 544,70093
1356 731,466 544,70142
1357 732,006 544,70142
1358 732,552 544,70148
1359 733,081 544,70148
1360 733,616 544,70123
1361 734,156 544,70135
1362 734,692 544,70142
1363 735,220 544,70148
1364 735,752 544,70117
1365 736,281 544,70160
1366 736,825 544,70099
1367 737,360 544,70099
1368 737,892 544,70093
1369 738,426 544,70081
1370 738,953 544,70068
1371 739,486 544,70099
1372 740,020 544,70117
1373 740,551 544,70105
1374 741,081 544,70105
1375 741,613 544,70105
1376 742,147 536,58240
1377 742,701 536,58240
1378 743,237 536,58240
1379 743,777 536,58209
1380 744,322 536,58215
1381 744,872 536,58228
1382 745,413 536,58221
1383 745,958 536,58228
1384 746,490 536,58203
1385 747,041 536,58185
1386 747,593 536,58209
1387 748,133 536,58234
1388 748,672 536,58240
1389 749,212 536,58221
1390 749,761 536,58215
1391 750,307 536,58209
1392 750,855 536,58197
1393 751,405 536,58215
1394 751,950 536,58185
1395 752,496 536,58179
1396 753,040 536,58173
1397 753,588 536,58179
1398 754,132 536,58148
1399 754,672 536,58197
1400 755,206 528,70227
1401 755,736 528,70154
1402 756,278 528,70111
1403 756,814 528,70123
1404 757,345 528,70129
1405 757,875 528,70142
1406 758,406 528,70178
1407 758,937 528,70172
1408 759,480 528,70184
1409 760,015 528,70160
1410 760,546 528,70190
1411 761,093 528,70142
1412 761,634 528,70154
1413 762,185 528,70135
1414 762,730 528,70129
1415 763,277 528,70166
1416 763,817 528,70190
1417 764,348 528,70197
1418 764,876 528,70197
1419 765,420 528,70178
1420 765,967 528,70160
1421 766,501 528,70154
1422 767,041 528,70154
1423 767,579 528,70135
1424 768,113 521,04907
1425 768,653 521,04901
1426 769,189 521,04919
1427 769,730 521,04901
1428 770,266 521,04919
1429 770,801 521,04950
1430 771,336 521,04956
1431 771,875 521,04919
1432 772,419 521,04919
1433 772,966 521,04865
1434 773,500 521,04889
1435 774,032 521,04956
1436 774,563 521,04956
1437 775,101 521,04956
1438 775,650 521,04932
1439 776,196 521,04907
1440 776,734 521,04883
1441 777,280 521,04877
1442 777,823 521,04858
1443 778,362 521,04852
1444 778,890 521,04852
1445 779,424 521,04871
1446 779,955 521,04895
1447 780,494 521,04913
1448 781,040 513,61584
1449 781,585 513,61578
1450 782,131 513,61566
1451 782,677 513,61584
1452 783,207 513,61584
1453 783,739 513,61542
1454 784,269 513,61530
1455 784,805 513,61475
1456 785,357 513,61475
1457 785,901 513,61499
1458 786,451 513,61517
1459 786,991 513,61523
1460 787,543 513,61499
1461 788,081 513,61523
1462 788,613 513,61505
1463 789,149 513,61505
1464 789,689 513,61523
1465 790,226 513,61523
1466 790,780 513,61517
1467 791,322 513,61523
1468 791,866 513,61548
1469 792,416 513,61536
1470 792,953 513,61572
1471 793,490 513,47687
1472 794,032 506,47943
1473 794,563 506,39026
1474 795,096 506,39044
1475 795,627 506,39047
1476 796,168 506,39066
1477 796,717 506,39066
1478 797,252 506,39053
1479 797,789 506,39081
1480 798,339 506,39078
1481 798,881 506,39059
1482 799,421 506,39066
1483 799,959 506,39044
1484 800,515 506,39072
1485 801,060 506,39066
1486 801,593 506,39044
1487 802,130 506,39053
1488 802,657 506,39047
1489 803,194 506,39017
1490 803,736 506,39017
1491 804,271 506,39032
1492 804,804 506,39032
1493 805,351 506,39026
1494 805,903 506,39020
1495 806,441 506,39038
1496 806,972 499,36566
1497 807,504 499,36578
1498 808,037 499,36594
1499 808,586 499,36600
1500 809,137 499,36609
1501 809,673 499,36581
1502 810,203 499,36594
1503 810,748 499,36588
1504 811,283 499,36578
1505 811,813 499,36594
1506 812,345 499,36603
1507 812,884 499,36603
1508 813,434 499,36588
1509 813,973 499,36560
1510 814,509 499,36572
1511 815,059 499,36600
1512 815,603 499,36594
1513 816,140 499,36572
1514 816,683 499,36581
1515 817,222 499,36588
1516 817,765 499,36588
1517 818,305 499,36588
1518 818,852 499,36560
1519 819,396 499,36566
1520 819,943 492,58420
1521 820,476 492,56381
1522 821,016 492,53366
1523 821,560 492,53366
1524 822,101 492,53354
1525 822,653 492,53345
1526 823,199 492,53366
1527 823,745 492,53348
1528 824,281 492,53360
1529 824,822 492,53348
1530 825,370 492,53354
1531 825,913 492,53369
1532 826,467 492,53381
1533 827,005 492,53381
1534 827,539 492,53369
1535 828,081 492,53366
1536 828,619 492,53345
1537 829,168 492,53348
1538 829,718 492,53360
1539 830,259 492,53369
1540 830,802 492,53369
1541 831,348 492,53339
1542 831,878 492,53348
1543 832,409 492,53354
1544 832,938 485,88635
1545 833,475 485,88620
1546 834,019 485,88596
1547 834,557 485,88620
1548 835,098 485,88651
1549 835,630 485,88635
1550 836,163 485,88596
1551 836,713 485,88574
1552 837,258 485,88589
1553 837,802 485,88559
1554 838,346 485,88559
1555 838,878 485,88596
1556 839,407 485,88589
1557 839,938 485,88602
1558 840,483 485,88657
1559 841,024 485,88663
1560 841,574 485,88651
1561 842,115 485,88611
1562 842,659 485,88602
1563 843,187 485,88535
1564 843,719 485,88535
1565 844,250 485,88596
1566 844,784 485,88626
1567 845,312 485,88626
1568 845,844 485,88635
1569 846,385 479,41498
1570 846,931 479,41483
1571 847,478 479,41486
1572 848,025 479,41516
1573 848,574 479,41525
1574 849,121 479,41516
1575 849,660 479,41501
1576 850,196 479,41498
1577 850,740 479,41486
1578 851,282 479,41501
1579 851,814 479,41522
1580 852,346 479,41516
1581 852,883 479,41483
1582 853,421 479,41516
1583 853,960 479,41510
1584 854,504 479,41537
1585 855,032 479,41541
1586 855,576 479,41577
1587 856,122 479,41556
1588 856,660 479,41595
1589 857,190 479,41571
1590 857,730 479,41586
1591 858,272 479,41571
1592 858,803 479,41565
1593 859,352 473,11484
1594 859,897 473,11499
1595 860,439 473,11475
1596 860,969 473,11426
1597 861,499 473,11432
1598 862,033 473,11432
1599 862,566 473,11465
1600 863,095 473,11472
1601 863,638 473,11450
1602 864,180 473,11447
1603 864,730 473,11481
1604 865,276 473,11490
1605 865,812 473,11505
1606 866,345 473,11456
1607 866,879 473,11435
1608 867,417 473,11450
1609 867,956 473,11481
1610 868,488 473,11472
1611 869,024 473,11472
1612 869,562 473,11450
1613 870,100 473,11459
1614 870,642 473,11465
1615 871,179 473,11447
1616 871,721 473,06259
1617 872,264 467,11920
1618 872,811 466,97726
1619 873,351 466,97708
1620 873,901 466,97733
1621 874,444 466,97751
1622 874,991 466,97736
1623 875,534 466,97745
1624 876,070 466,97726
1625 876,622 466,97726
1626 877,162 466,97717
1627 877,716 466,97736
1628 878,262 466,97736
1629 878,807 466,97702
1630 879,347 466,97690
1631 879,879 466,97702
1632 880,413 466,97717
1633 880,968 466,97745
1634 881,514 466,97736
1635 882,060 466,97717
1636 882,604 466,97699
1637 883,155 466,97717
1638 883,690 466,97736
1639 884,229 466,97742
1640 884,767 466,82062
1641 885,299 461,04385
1642 885,829 460,99777
1643 886,360 460,99771
1644 886,906 460,99771
1645 887,449 460,99780
1646 887,987 460,99777
1647 888,525 460,99786
1648 889,067 460,99768
1649 889,604 460,99768
1650 890,141 460,99750
1651 890,681 460,99750
1652 891,229 460,99759
1653 891,771 460,99762
1654 892,321 460,99789
1655 892,865 460,99780
1656 893,410 460,99777
1657 893,943 460,99768
1658 894,485 460,99759
1659 895,020 460,99734
1660 895,552 460,99734
1661 896,085 460,99744
1662 896,634 460,99744
1663 897,178 460,99750
1664 897,732 460,99750
1665 898,270 455,18079
1666 898,808 455,16891
1667 899,344 455,16891
1668 899,889 455,16891
1669 900,432 455,16901
1670 900,981 455,16901
1671 901,520 455,16861
1672 902,060 455,16840
1673 902,598 455,16833
1674 903,133 455,16870
1675 903,683 455,16873
1676 904,218 455,16882
1677 904,756 455,16891
1678 905,312 455,16919
1679 905,850 455,16891
1680 906,404 455,16864
1681 906,940 455,16879
1682 907,470 455,16861
1683 908,008 455,16882
1684 908,560 455,16901
1685 909,096 455,16898
1686 909,625 455,16910
1687 910,171 455,16925
1688 910,705 455,05682
1689 911,234 449,55789
1690 911,766 449,48532
1691 912,303 449,48523
1692 912,845 449,48538
1693 913,381 449,48523
1694 913,913 449,48529
1695 914,463 449,48541
1696 915,014 449,48538
1697 915,560 449,48529
1698 916,107 449,48523
1699 916,647 449,48541
1700 917,201 449,48523
1701 917,739 449,48529
1702 918,279 449,48532
1703 918,815 449,48523
1704 919,345 449,48532
1705 919,889 449,48517
1706 920,424 449,48523
1707 920,963 449,48523
1708 921,509 449,48541
1709 922,056 449,48547
1710 922,597 449,48541
1711 923,127 449,48547
1712 923,658 449,48563
1713 924,190 443,94217
1714 924,721 443,94232
1715 925,258 443,94211
1716 925,811 443,94211
1717 926,355 443,94214
1718 926,895 443,94205
1719 927,432 443,94211
1720 927,977 443,94196
1721 928,524 443,94211
1722 929,071 443,94226
1723 929,615 443,94238
1724 930,150 443,94223
1725 930,693 443,94214
1726 931,222 443,94232
1727 931,751 443,94287
1728 932,281 443,94287
1729 932,813 443,94211
1730 933,357 443,94235
1731 933,904 443,94235
1732 934,452 443,94238
1733 934,995 443,94247
1734 935,544 443,94235
1735 936,091 443,94247
1736 936,626 443,94226
1737 937,157 438,53485
1738 937,702 438,53497
1739 938,236 438,53485
1740 938,773 438,53476
1741 939,328 438,53476
1742 939,871 438,53479
1743 940,411 438,53488
1744 940,943 438,53488
1745 941,480 438,53476
1746 942,030 438,53433
1747 942,569 438,53427
1748 943,109 438,53412
1749 943,645 438,53433
1750 944,175 438,53445
1751 944,705 438,53445
1752 945,249 438,53439
1753 945,783 438,53433
1754 946,312 438,53439
1755 946,858 438,53439
1756 947,404 438,53442
1757 947,951 438,53452
1758 948,495 438,53418
1759 949,041 438,53397
1760 949,589 438,49716
1761 950,137 433,41974
1762 950,671 433,25671
1763 951,204 433,25677
1764 951,737 433,25674
1765 952,277 433,25677
1766 952,813 433,25671
1767 953,347 433,25671
1768 953,881 433,25659
1769 954,409 433,25659
1770 954,947 433,25659
1771 955,497 433,25687
1772 956,033 433,25696
1773 956,564 433,25687
1774 957,093 433,25708
1775 957,627 433,25714
1776 958,156 433,25708
1777 958,690 433,25684
1778 959,226 433,25662
1779 959,772 433,25635
1780 960,312 433,25616
1781 960,844 433,25647
1782 961,379 433,25647
1783 961,910 433,25641
1784 962,444 433,25671
1785 962,990 433,25687
1786 963,520 428,10431
1787 964,055 428,10437
1788 964,596 428,10443
1789 965,128 428,10468
1790 965,658 428,10419
1791 966,188 428,10406
1792 966,722 428,10416
1793 967,257 428,10410
1794 967,804 428,10431
1795 968,345 428,10416
1796 968,876 428,10428
1797 969,407 428,10419
1798 969,950 428,10434
1799 970,487 428,10397
1800 971,026 428,10394
1801 971,573 428,10403
1802 972,113 428,10419
1803 972,646 428,10406
1804 973,192 428,10416
1805 973,723 428,10406
1806 974,260 428,10403
1807 974,798 428,10437
1808 975,335 428,10431
1809 975,876 428,10431
1810 976,412 423,07278
1811 976,964 423,07297
1812 977,504 423,07297
1813 978,040 423,07324
1814 978,580 423,07324
1815 979,116 423,07309
1816 979,663 423,07312
1817 980,204 423,07321
1818 980,737 423,07336
1819 981,266 423,07336
1820 981,800 423,07333
1821 982,338 423,07306
1822 982,886 423,07318
1823 983,431 423,07321
1824 983,978 423,07294
1825 984,531 423,07318
1826 985,067 423,07285
1827 985,598 423,07281
1828 986,128 423,07291
1829 986,658 423,07303
1830 987,188 423,07303
1831 987,723 423,07318
1832 988,259 423,07309
1833 988,808 423,07309
1834 989,352 418,15912
1835 989,898 418,15906
1836 990,438 418,15881
1837 990,973 418,15881
1838 991,511 418,15866
1839 992,054 418,15872
1840 992,607 418,15872
1841 993,149 418,15860
1842 993,695 418,15887
1843 994,249 418,15903
1844 994,786 418,15903
1845 995,322 418,15903
1846 995,866 418,15897
1847 996,408 418,15912
1848 996,941 418,15918
1849 997,471 418,15915
1850 998,003 418,15897
1851 998,532 418,15897
1852 999,065 418,15887
1853 999,604 418,15860
1854 1000,149 418,15869
1855 1000,695 418,15872
1856 1001,241 418,15872
1857 1001,789 418,15884
1858 1002,339 413,35745
1859 1002,878 413,35748
1860 1003,413 413,35745
1861 1003,967 413,35733
1862 1004,505 413,35733
1863 1005,035 413,35736
1864 1005,569 413,35730
1865 1006,113 413,35730
1866 1006,641 413,35724
1867 1007,178 413,35739
1868 1007,730 413,35721
1869 1008,273 413,35757
1870 1008,824 413,35745
1871 1009,360 413,35736
1872 1009,894 413,35715
1873 1010,435 413,35715
1874 1010,971 413,35718
1875 1011,509 413,35739
1876 1012,049 413,35751
1877 1012,585 413,35782
1878 1013,138 413,35785
1879 1013,678 413,35767
1880 1014,232 413,35754
1881 1014,766 413,35757
1882 1015,300 408,71136
1883 1015,836 408,69455
1884 1016,382 408,66483
1885 1016,928 408,66455
1886 1017,472 408,66449
1887 1018,011 408,66449
1888 1018,550 408,66467
1889 1019,090 408,66486
1890 1019,627 408,66479
1891 1020,157 408,66507
1892 1020,689 408,66537
1893 1021,227 408,66504
1894 1021,770 408,66504
1895 1022,319 408,66473
1896 1022,872 408,66473
1897 1023,407 408,66467
1898 1023,941 408,66479
1899 1024,480 408,66473
1900 1025,027 408,66492
1901 1025,570 408,66492
1902 1026,124 408,66486
1903 1026,658 408,66486
1904 1027,199 408,66501
1905 1027,740 408,65695
1906 1028,276 404,25525
1907 1028,827 404,07797
1908 1029,359 404,07819
1909 1029,890 404,07803
1910 1030,425 404,07791
1911 1030,957 404,07791
1912 1031,497 404,07785
1913 1032,037 404,07764
1914 1032,573 404,07745
1915 1033,119 404,07779
1916 1033,657 404,07791
1917 1034,187 404,07764
1918 1034,731 404,07785
1919 1035,279 404,07779
1920 1035,821 404,07776
1921 1036,367 404,07776
1922 1036,907 404,07788
1923 1037,448 404,07791
1924 1037,999 404,07785
1925 1038,536 404,07770
1926 1039,067 404,07767
1927 1039,602 404,07764
1928 1040,152 404,07770
1929 1040,687 404,07767
1930 1041,229 403,91248
1931 1041,778 399,60785
1932 1042,325 399,59250
1933 1042,868 399,59225
1934 1043,414 399,59222
1935 1043,959 399,59229
1936 1044,488 399,59232
1937 1045,020 399,59232
1938 1045,556 399,59204
1939 1046,108 399,59232
1940 1046,643 399,59250
1941 1047,181 399,59241
1942 1047,719 399,59244
1943 1048,251 399,59250
1944 1048,781 399,59225
1945 1049,319 399,59222
1946 1049,867 399,59198
1947 1050,415 399,59198
1948 1050,965 399,59216
1949 1051,505 399,59225
1950 1052,033 399,59232
1951 1052,562 399,59232
1952 1053,097 399,59225
1953 1053,629 399,59241
1954 1054,167 399,43250
1955 1054,715 395,21390
1956 1055,259 395,20575
1957 1055,805 395,20581
1958 1056,347 395,20596
1959 1056,880 395,20612
1960 1057,435 395,20596
1961 1057,974 395,20596
1962 1058,523 395,20584
1963 1059,072 395,20581
1964 1059,619 395,20599
1965 1060,166 395,20596
1966 1060,703 395,20575
1967 1061,240 395,20572
1968 1061,769 395,20572
1969 1062,300 395,20612
1970 1062,830 395,20624
1971 1063,363 395,20602
1972 1063,897 395,20596
1973 1064,444 395,20590
1974 1064,990 395,20581
1975 1065,524 395,20618
1976 1066,076 395,20584
1977 1066,618 395,19189
1978 1067,164 395,18466
1979 1067,706 390,91431
1980 1068,244 390,91418
